n         Runtime_SQUARE_MATRIXBound_SQUARE_MATRIXRuntime_STRASSEN'S_METHODBound_STRASSEN'S_METHOD
2                   2                   5.42662             7                   246.156
4                   0                   43.413              44                  1726.25
8                   3                   347.304             304                 12105.9
16                  20                  2778.43             2147                84897.1
32                  161                 22227.4             15235               595370
64                  1218                177820              105678              4.17524e+06
128                 10266               1.42256e+06         740545              2.92803e+07
256                 98257               1.13805e+07         5.18944e+06         2.05338e+08
512                 937904              9.10436e+07         4.4121e+07          1.44001e+09
